col0,col1,col2,col3,col4,col5,col6,col7
Makita 5277NB,4300,2.9,circular saw,Makita,605,circular saw model,saw blade
Porter Cable 314,4258,3.4,circular saw,Porter-Cable,304,circular saw model,saw blade
Skil 5680,4879,2.1,circular saw,Skil,853,circular saw model,saw blade
Porter Cable 345,6000,2.2,circular saw,Porter-Cable,424,circular saw model,saw blade
Milwaukee 6370-20,3700,6.1,circular saw,Milwaukee Electric Tool Corporation,693,circular saw model,metal cutting blade
Skil 5380-01,4957,5.2,circular saw,Skil,730,circular saw model,saw blade
Milwaukee 6378,4390,3.9,circular saw,Milwaukee Electric Tool Corporation,720,circular saw model,saw blade
Makita 4200NH,11000,2.3,circular saw,Makita,325,circular saw model,saw blade
Craftsman 172-10865,5800,3.7,circular saw,Craftsman,806,circular saw model,saw blade
Milwaukee 6391-21,5800,3.5,circular saw,Milwaukee Electric Tool Corporation,882,circular saw model,saw blade
Milwaukee 6375-20,5800,3.2,circular saw,Milwaukee Electric Tool Corporation,753,circular saw model,saw blade
