col0,col1,col2,col3,col4,col5,col6,col7
Chad,geography of Chad,18,Albert Pahimi Padacké,Cameroon,-4.9,Middle Africa,National Assembly
Uzbekistan,geography of Uzbekistan,20,Abdulla Nigmatovich Aripov,Kyrgyzstan,7.9,Central Asia,Supreme Assembly
Central African Republic,geography of the Central African Republic,19,Firmin Ngrébada,Chad,4.7,Middle Africa,National Assembly
Mongolia,geography of Mongolia,10,Khurelsukh Ukhnaa,People's Republic of China,0.5,East Asia,State Great Khural
Slovakia,geography of Slovakia,20,Peter Pellegrini,Hungary,0.2,Eastern Europe,National Council of the Slovak Republic
Ethiopia,geography of Ethiopia,15,Abiy Ahmed,Kenya,6.7,East Africa,Federal Parliamentary Assembly
Austria,geography of Austria,20,Sebastian Kurz,Czech Republic,1.5,Central Europe,Austrian Parliament
Kazakhstan,geography of Kazakhstan,12,Askar Mamin,Uzbekistan,8.5,Central Asia,Parliament of Kazakhstan
Paraguay,geography of Paraguay,10,Mario Abdo Benítez,Bolivia,3.9,South America,Congress of Paraguay
Czech Republic,geography of the Czech Republic,21,Andrej Babiš,Austria,2.4,Eastern Europe,Parliament of the Czech Republic
Bolivia,geography of Bolivia,13,Evo Morales,Paraguay,4,South America,Plurinational Legislative Assembly
Zambia,geography of Zambia,16,Edgar Lungu,Zimbabwe,7.5,East Africa,National Assembly
Chad,geography of Chad,18,Albert Pahimi Padacké,Central African Republic,-4.9,Middle Africa,National Assembly
Uzbekistan,geography of Uzbekistan,20,Abdulla Nigmatovich Aripov,Kazakhstan,7.9,Central Asia,Supreme Assembly
Slovakia,geography of Slovakia,20,Peter Pellegrini,Austria,0.2,Eastern Europe,National Council of the Slovak Republic
