col0,col1,col2,col3
Aka-Jeru,agglutinative language,0,10 Extinct
Chicomuceltec,agglutinative language,0,9 Dormant
Karuk,polysynthetic language,12,8b Nearly Extinct
Ili Turki,agglutinative language,120,8a Moribund
Godoberi language,stress-timed language,130,7 Shifting
Bagvalal,stress-timed language,1450,6b Threatened
Karata,stress-timed language,6000,6b Threatened
Chamalal,stress-timed language,500,6b Threatened
Hunzib,stress-timed language,1000,6b Threatened
Botlikh,stress-timed language,210,6b Threatened
