col0,col1,col2,col3
New Year Pass,West Coast Region,New Zealand,The Sierra Range
Baumgartenjoch,Tyrol,Austria,Vorkarwendel
Katbergpas,Eastern Cape,South Africa,"Winterberg, Eastern Cape"
Lundin's Neck,Eastern Cape,South Africa,Witteberg
Obdacher Sattel,Styria,Austria,Seetal Alps
Vlárský Prŭsmyk,Trenčín District,Czech Republic,White Carpathians
Swartberg Pass,Western Cape,South Africa,Swartberg
Meiringspoort,Western Cape,South Africa,Swartberg
Montagu Pass,Western Cape,South Africa,Outeniqua Mountains
Tuxer Joch,Tyrol,Austria,Zillertal Alps
Wurzen Pass,Carinthia,Austria,Karawanks
Kowyn Pass,Mpumalanga,South Africa,Drakensberg
Barkly Pass,Eastern Cape,South Africa,Drakensberg
Bushman's Nek Pass,KwaZulu-Natal,South Africa,Drakensberg
Kleiner Semmering Pass,Lower Austria,Austria,Alps
