col0,col1,col2,col3
Oscar-class submarine,granite,Russian Navy,RPK-6 Vodopad/RPK-7 Veter
Typhoon-class submarine,shark,Russian Navy,RPK-6 Vodopad/RPK-7 Veter
Oscar-class submarine,granite,Russian Navy,P-700 Granit
Borei-class submarine,Russian submarine Yury Dolgorukiy,Russian Navy,RSM-56 Bulava
Victor II class submarine,Atlantic salmon,Soviet Navy,Type 65 torpedo
Oscar-class submarine,granite,Soviet Navy,Type 65 torpedo
Typhoon-class submarine,shark,Soviet Navy,Type 65 torpedo
Victor II class submarine,Atlantic salmon,Russian Navy,Type 65 torpedo
Oscar-class submarine,granite,Russian Navy,Type 65 torpedo
Typhoon-class submarine,shark,Russian Navy,R-39 Rif
Aigrette-class submarine,Aigrette,French Navy,torpedo
