col0,col1,col2,col3,col4
Siege of Mainz,1793-01-01,War of the First Coalition,Siege of Mainz,1793-07-23
Siege of Namur,-0053-01-01T00:00:00Z,Gallic War,Siege of Namur,-0053-01-01T00:00:00Z
Siege of Namur,1695-01-01,Nine Years' War,Siege of Namur,1695-09-05
Siege of Wakae Castle,1477-11-23,Ōnin War,Siege of Wakae Castle,1477-11-23
Siege of Naples,1528-08-01,War of the League of Cognac,Siege of Naples,1528-08-01
Siege of Maastricht,1673-01-01,Franco-Dutch War,Siege of Maastricht,1673-06-26
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople,1411-01-01
Siege of Takatō,1545-01-01,Sengoku period,Siege of Takatō,1545-06-06
Siege of Maastricht,1673-01-01,Franco-Dutch War,Siege of Maastricht,1673-06-26
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople,1411-01-01
Siege of Calais,1940-01-01,World War II,Siege of Calais,1940-05-26
Siege of Namur,-0053-01-01T00:00:00Z,Gallic War,Siege of Namur,-0053-01-01T00:00:00Z
Siege of Namur,1695-01-01,Nine Years' War,Siege of Namur,1695-09-05
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople,1411-01-01
Sack of Thessalonica,1185-01-01,Byzantine–Norman wars,Sack of Thessalonica,1185-01-01
