col0,col1,col2,col3,col4,col5,col6,col7
"2016 Arctic Race of Norway, Stage 3",August Jensen,Philippe Gilbert,2016 Arctic Race of Norway,Stef Clement,126,Leigh Howard,Korgfjellet
"2015 Arctic Race of Norway, Stage 3",Silvan Dillier,Edvald Boasson Hagen,2015 Arctic Race of Norway,Alexander Kristoff,125,Vegard Stake Laengen,Målselv
"2016 Arctic Race of Norway, Stage 3",August Jensen,Philippe Gilbert,2016 Arctic Race of Norway,Stef Clement,126,Grégory Rast,Korgfjellet
"2016 Ladies Tour of Norway, Stage 2",Maria Giulia Confalonieri,Maria Giulia Confalonieri,2016 Ladies Tour of Norway,Lucinda Brand,86,Lucinda Brand,Sarpsborg
"2015 Arctic Race of Norway, Stage 2",August Jensen,Michael Van Staeyen,2015 Arctic Race of Norway,August Jensen,125,August Jensen,Setermoen
"2015 Arctic Race of Norway, Stage 3",Silvan Dillier,Edvald Boasson Hagen,2015 Arctic Race of Norway,Mathias Frank,124,Vegard Stake Laengen,Målselv
"2016 Arctic Race of Norway, Stage 3",August Jensen,Philippe Gilbert,2016 Arctic Race of Norway,Stef Clement,126,Stef Clement,Korgfjellet
"2015 Arctic Race of Norway, Stage 2",August Jensen,Michael Van Staeyen,2015 Arctic Race of Norway,August Jensen,127,Vegard Stake Laengen,Setermoen
"2016 Ladies Tour of Norway, Stage 2",Thalita de Jong,Lucinda Brand,2016 Ladies Tour of Norway,Lucinda Brand,86,Lucinda Brand,Sarpsborg
"2015 Arctic Race of Norway, Stage 2",August Jensen,Michael Van Staeyen,2015 Arctic Race of Norway,Jean-Marc Bideau,125,Vegard Stake Laengen,Setermoen
"2015 Arctic Race of Norway, Stage 3",Silvan Dillier,Edvald Boasson Hagen,2015 Arctic Race of Norway,Edvald Boasson Hagen,124,Dylan Teuns,Målselv
