col0,col1,col2,col3,col4,col5
2014 Boston Open Badminton Championships,open championship,2013 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2013 Boston Open Badminton Championships,open championship,2012 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2007 Boston Open Badminton Championships,open championship,2006 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2003 Boston Open Badminton Championships,open championship,2002 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2002 Boston Open Badminton Championships,open championship,2001 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2001 Boston Open Badminton Championships,open championship,2000 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
1999 Boston Open Badminton Championships,open championship,1998 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2012 Boston Open Badminton Championships,open championship,2011 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2011 Boston Open Badminton Championships,open championship,2010 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
2009 Boston Open Badminton Championships,open championship,2008 Boston Open Badminton Championships,Boston Open Badminton Championships,WikiProject Badminton/tournament focus list,Rockwell Cage
