col0,col1,col2,col3,col4
The Loire Valley between Sully-sur-Loire and Chalonnes,Saint-Martin-de-la-Place,Pays de la Loire,UNESCO World Heritage Site,masterpiece of human creative genius
Cultural mining landscape of the Ore Mountains,Abertamy,Karlovy Vary Region,Tentative World Heritage Site,cultural object with outstanding universal significance
Pergamon and its Multi-Layered Cultural Landscape,Pergamon,İzmir Province,UNESCO World Heritage Site,cultural object with outstanding universal significance
Cultural mining landscape of the Ore Mountains,Abertamy,Karlovy Vary Region,Tentative World Heritage Site,object illustrates  significant stage in human history
Iron Trail with Erzberg and the old town of Steyr,Steyr,Upper Austria,Tentative World Heritage Site,object illustrates  significant stage in human history
Pergamon and its Multi-Layered Cultural Landscape,Pergamon,İzmir Province,UNESCO World Heritage Site,object illustrates  significant stage in human history
Cultural mining landscape of the Ore Mountains,Abertamy,Karlovy Vary Region,Tentative World Heritage Site,unique to a cultural tradition
Iron Trail with Erzberg and the old town of Steyr,Steyr,Upper Austria,Tentative World Heritage Site,unique to a cultural tradition
Pergamon and its Multi-Layered Cultural Landscape,Pergamon,İzmir Province,UNESCO World Heritage Site,unique to a cultural tradition
Cultural mining landscape of the Ore Mountains,Abertamy,Karlovy Vary Region,Tentative World Heritage Site,"on developments in architecture or technology, monumental arts, town-planning or landscape design"
Iron Trail with Erzberg and the old town of Steyr,Steyr,Upper Austria,Tentative World Heritage Site,"on developments in architecture or technology, monumental arts, town-planning or landscape design"
Pergamon and its Multi-Layered Cultural Landscape,Pergamon,İzmir Province,UNESCO World Heritage Site,"on developments in architecture or technology, monumental arts, town-planning or landscape design"
Iron Trail with Erzberg and the old town of Steyr,Steyr,Upper Austria,Tentative World Heritage Site,masterpiece of human creative genius
Pergamon and its Multi-Layered Cultural Landscape,Pergamon,İzmir Province,UNESCO World Heritage Site,masterpiece of human creative genius
