col0,col1,col2,col3,col4
Coffee Cultural Landscape of Colombia - zone D,Coffee Cultural Landscape of Colombia,Colombia,cultural landscape,42820
Coffee Cultural Landscape of Colombia - zone C,Coffee Cultural Landscape of Colombia,Colombia,cultural landscape,47406
Coffee Cultural Landscape of Colombia - zone B,Coffee Cultural Landscape of Colombia,Colombia,cultural landscape,826
Coffee Cultural Landscape of Colombia - zone A,Coffee Cultural Landscape of Colombia,Colombia,cultural landscape,1390
Cinque Terre and Portovenere,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Italy,cultural landscape,4511.54
Mědník Hill Mining Landscape,Ore Mountain Mining Region,Czech Republic,cultural landscape,7.724
Krupka Mining Landscape,Ore Mountain Mining Region,Czech Republic,cultural landscape,317.565
Abertamy – Boží Dar – Horní Blatná – Mining Landscape,Ore Mountain Mining Region,Czech Republic,cultural landscape,2608.279
Jáchymov Mining Landscape,Ore Mountain Mining Region,Czech Republic,cultural landscape,637.9
Uranium Mining Landscape,Ore Mountain Mining Region,Germany,cultural landscape,746.263
Schneeberg Mining Landscape,Ore Mountain Mining Region,Germany,cultural landscape,218.15
Annaberg-Frohnau Mining Landscape,Ore Mountain Mining Region,Germany,cultural landscape,191.994
