col0,col1,col2,col3,col4,col5
Clay County,Hayesville,"National Register of Historic Places listings in Clay County, North Carolina",Clay County,Towns County,571
Jackson County,Sylva,"National Register of Historic Places listings in Jackson County, North Carolina",Jackson County,Swain County,1281
Clay County,Hayesville,"National Register of Historic Places listings in Clay County, North Carolina",Clay County,Cherokee County,571
Hertford County,Winton,"National Register of Historic Places listings in Hertford County, North Carolina",Haskell County,Chowan County,933
Greene County,Snow Hill,"National Register of Historic Places listings in Greene County, North Carolina",Greenwood County,Wilson County,689
Hertford County,Winton,"National Register of Historic Places listings in Hertford County, North Carolina",Haskell County,Gates County,933
Greene County,Snow Hill,"National Register of Historic Places listings in Greene County, North Carolina",Greenwood County,Lenoir County,689
Hertford County,Winton,"National Register of Historic Places listings in Hertford County, North Carolina",Haskell County,Northampton County,933
Franklin County,Louisburg,"National Register of Historic Places listings in Franklin County, North Carolina",Franklin Parish,Nash County,1281
Hertford County,Winton,"National Register of Historic Places listings in Hertford County, North Carolina",Haskell County,Southampton County,933
Lincoln County,Lincolnton,"National Register of Historic Places listings in Lincoln County, North Carolina",Lincoln Parish,Catawba County,795
