col0,col1,col2,col3,col4
Monumento Campos Salles - Campinas,Museu Paulista,photographic paper,12.1,photograph
Bosque dos Jequitibas - Campinas,Museu Paulista,photographic paper,12.1,photograph
Casa de saúde - Campinas,Museu Paulista,photographic paper,12.1,photograph
Praça Paris - Paris Square - Rio de Janeiro - Brasil,Museu Paulista,photographic paper,12.1,photograph album
Estadio do Maracanã - Rio de Janeiro,Museu Paulista,photographic paper,12.1,photograph album
Cidade à noite - Tawn seen night - Rio de Janeiro - Brasil,Museu Paulista,photographic paper,12.1,photograph album
Copacabana Posto 6 - Rio de Janeiro,Museu Paulista,photographic paper,12.1,photograph album
Praça Paris - Rio de Janeiro - Brasil,Museu Paulista,photographic paper,12.1,photograph album
Vista parcial - Rio de Janeiro - Brasil,Museu Paulista,photographic paper,12.1,photograph album
Bairro de Copacabana - Rio de Janeiro,Museu Paulista,photographic paper,12.1,photograph album
Vista geral - Rio de Janeiro,Museu Paulista,photographic paper,12.1,photograph album
Igreja da Glória - Rio de Janeiro,Museu Paulista,photographic paper,8.1,photograph album
