col0,col1,col2,col3,col4,col5
Poplar Creek Public Library District,Sonya Crawshaw Branch Library,116543,1966-01-01,"1405 South Park Avenue, Streamwood, IL 60107",Illinois
Joliet Public Library,Black Road Branch,244088,1876-03-07,"150 North Ottawa Street, Joliet, IL 60432",Illinois
Chicago Public Library,Albany Park Branch,9274305,1873-01-01,"400 South State Street, Chicago, IL 60605",Illinois
Hall County Library System,Blackshear Place Library,327119,1997-01-01,"127 Main Street Nw, Gainesville, GA 30501",Georgia
Mountain Regional Library System,Fannin County Public Library,254034,1958-01-01,"698 Miller Street, Young Harris, GA 30582",Georgia
Chestatee Regional Library System,Lumpkin County Library,153181,1953-01-01,"342 Allen Street, Dawsonville, GA 30534",Georgia
Bartram Trail Regional Library System,Mary Willis Library,68133,1974-01-01,"204 E. Liberty Street, Washington, GA 30673",Georgia
Greater Clarks Hill Regional Library System,Euchee Creek Library,432041,2013-01-01,"7022 Evans Towne Center Blvd, Evans, GA 30809",Georgia
Troup-Harris Regional Library,Lagrange Memorial Library,202660,2007-01-01,"115 Alford Street, Lagrange, GA 30240",Georgia
Pine Mountain Regional Library System,Greenville Area Public Library,90225,1958-01-01,"218 W. Perry Street, Manchester, GA 31816",Georgia
Northeast Georgia Regional Library System,Clarkesville-habersham County Library,249932,1951-01-01,"204 Ellison Street, Suite F, Clarkesville, GA 30523",Georgia
Chicago Public Library,Mayfair Branch,9438150,1873-01-01,"400 South State Street, Chicago, IL 60605",Illinois
Dallas Public Library,Audelia Road Branch Library,3187952,1901-01-01,"1515 Young St, Dallas, TX 75201",Texas
Loudoun County Public Library,Ashburn Library,1729677,1973-01-01,"102 North Street, Nw Suite A, Leesburg, VA 20176",Loudoun County
Cobb County Public Library System,Switzer Library,1783221,1969-01-01,"266 Roswell Street, Marietta, GA 30060",Georgia
