col0,col1,col2,col3,col4,col5,col6,col7
Fantasia 2000,Donald W. Ernst,live-action animated film,Fantasia 2000,8,United States of America,Tim Suhrstedt,75
Movie 43,Ryan Kavanaugh,anthology film,Movie 43,13,United States of America,Matthew F. Leonetti,94
Night on Earth,Jim Jarmusch,anthology film,Night on Earth,5,Japan,Frederick Elmes,123
The ABCs of Death,Simon Boswell,anthology film,The ABCs of Death,26,Japan,Karim Hussain,124
"New York, I Love You",Michael Benaroya,anthology film,"New York, I Love You",11,United States of America,Declan Quinn,103
Fantasia 2000,Donald W. Ernst,anthology film,Fantasia 2000,8,United States of America,Tim Suhrstedt,75
"11'09""01 September 11",Jacques Perrin,anthology film,11'09''01 – September 11,11,Japan,Samuel Bayer,134
Coffee and Cigarettes,Jim Jarmusch,compilation film,Coffee and Cigarettes,11,United States of America,Robby Müller,96
Woman Times Seven,Arthur Cohn,anthology film,Woman Times Seven,7,United States of America,Christian Matras,100
Eros,Domenico Procacci,anthology film,Eros,3,United States of America,Marco Pontecorvo,104
Four Rooms,Lawrence Bender,anthology film,Four Rooms,4,United States of America,Andrzej Sekuła,94
Coffee and Cigarettes,Jim Jarmusch,anthology film,Coffee and Cigarettes,11,United States of America,Robby Müller,96
Fantasia,Walt Disney,live-action animated film,Fantasia,7,United States of America,James Wong Howe,120
