col0,col1,col2,col3,col4
Siege of Maastricht,1673-01-01,Franco-Dutch War,Capture of Maastricht,1673-06-26
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople (821-823),1411-01-01
Siege of Mainz,1793-01-01,War of the First Coalition,Battle of Mainz,1793-07-23
Capture of Breda of 1590,1590-03-04,Eighty Years' War,Siege of Breda of 1624–25,1590-03-01
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople (674-678),1411-01-01
first siege of Girona in 1808,1808-06-20,Peninsular War,Second Siege of Gerona,1808-06-20
Siege of Constantinople,1411-01-01,Ottoman Interregnum,Siege of Constantinople (717-718),1411-01-01
Siege of Thessalonica,0617-01-01,Avar–Byzantine wars,Siege of Thessalonica (676–678),0618-01-01
Siege of Jerusalem,1244-07-15,Sixth Crusade,Siege of Jebus,1244-07-22
Battle of Montevideo,1807-02-03,British invasions of the River Plate,Siege of Montevideo,1807-02-03
