col0,col1,col2,col3,col4,col5
East Prussia,1773-01-01,Prussia,Free State of Prussia,province of Prussia,2064175
Province of Hanover,1866-09-20,Weimar Republic,Kingdom of Prussia,province of Prussia,1961437
Province of Brandenburg,1815-01-01,Prussia,Kingdom of Prussia,province of Prussia,3023443
Rhine Province,1822-06-22,Prussia,Kingdom of Prussia,province of Prussia,7915830
Hesse-Nassau,1868-12-07,Prussia,Kingdom of Prussia,province of Prussia,2688922
Prussia Province,1829-01-01,Kingdom of Prussia,Kingdom of Prussia,province of Prussia,3250200
Silesia Province,1815-01-01,Prussia,Kingdom of Prussia,province of Prussia,4868764
Province of Posen,1848-01-01,Kingdom of Prussia,Kingdom of Prussia,province of Prussia,2099831
South Prussia,1793-01-01,Prussia,Prussia,province of Prussia,1335000
Province of Saxony,1815-04-30,Prussia,Kingdom of Prussia,province of Prussia,3618458
Province of Schleswig-Holstein,1867-01-01,Prussia,Kingdom of Prussia,province of Prussia,1589
West Prussia,1773-01-01,Prussia,Kingdom of Prussia,province of Prussia,1703474
East Prussia,1773-01-01,Prussia,Kingdom of Prussia,province of Prussia,2064175
