col0,col1,col2,col3,col4
Abrigo Dom Pedro II,1887-01-01,Boa Viagem (Salvador),historic site,IPHAN Good Class
The Lopatina House,1876-01-01,Moscow,office building,cultural heritage site in Russia
Crossley House,1856-01-01,Halifax,public library,Grade II* listed building or structure
The Lopatina House,1876-01-01,Moscow,cultural heritage site in Russia,cultural heritage site in Russia
Winfield House,1936-01-01,Regent's Park,ambassador's residence,Grade II listed building
Martindale Hall,1880-01-01,Mintaro,conservation park of South Australia,listed on the South Australian Heritage Register
Trippenhuis,1662-01-01,Burgwallen Oude Zijde,museum building,Rijksmonument
Casa de Serralves,1944-01-01,Lordelo do Ouro,mansion,National Monument of Portugal
Trippenhuis,1662-01-01,Burgwallen Oude Zijde,mansion,Rijksmonument
Hässelby Castle,1657-01-01,Hässelby gård,mansion,individual listed building complex
Duff House,1995-01-01,Banff,mansion,category A listed building
Winfield House,1936-01-01,Regent's Park,mansion,Grade II listed building
Palais Preysing,1828-01-01,Münchner Altstadt,mansion,architectural heritage monument in Bavaria
