col0,col1,col2,col3
ethanol,19,ethanol exposure,44
ethyl acrylate,14,ethyl acrylate exposure,29
ethyl acetate,11.5,ethyl acetate exposure,10
dioxane,22,"1,4-Dioxane exposure",29
"1,1-dimethylhydrazine",95,"1,1-Dimethylhydrazine exposure",103
diisopropylamine,7.1,Diisopropylamine exposure,70
diethyl ketone,6.4,pentan-3-one exposure,35
diethylamine,10.1,Diethylamine exposure,192
"(1Z)-1,2-dichloroethylene",15,"1,2-dichloroethene exposure",26.8
"(1E)-1,2-dichloroethylene",13,"1,2-dichloroethene exposure",44.2
ethylidene chloride,11.4,"1,1-Dichloroethane exposure",182
