col0,col1,col2,col3
MyHeritage,business,Or Yehuda,genealogy
Ankama,business,Roubaix,video game industry
Walter Aircraft Engines,business,Prague,aerospace
William Beardmore and Company,automobile model,Parkhead,automotive industry
MyHeritage,social networking service,Or Yehuda,genealogy
McKinsey & Company,consulting company,New York City,management consulting industry
Amazon Web Services,internet hosting service,Seattle,cloud computing
Volkswagen Group,conglomerate,Wolfsburg,automotive industry
Istanbul Deniz Otobusleri,transport company,Istanbul,maritime transport
Amazon Web Services,computing platform,Seattle,cloud computing
Ankama,holding company,Roubaix,video game industry
Nival Interactive,video game developer,Moscow,video game industry
William Beardmore and Company,shipyard,Parkhead,automotive industry
Amazon Web Services,application programming interface,Seattle,cloud computing
