col0,col1,col2,col3,col4,col5,col6,col7
IT Vel,7.05,infrared source,29,124.5047732499254,340,2.3669,Vela
V4372 Sgr,6.772,infrared source,-14,292.1472175554445,372,2.0257,Sagittarius
48 Tauri,6.3,infrared source,41.05,63.9428517196271,68,21.339,Taurus
HD 5066,6.688,infrared source,17.2,13.2224100186876,121,4.0215,Andromeda
Sigma Lupi,4.423,infrared source,-1.5,218.1544027875,119,6.748,Lupus
V831 Centauri,4.593,infrared source,12,198.073310782,216,8.61,Centaurus
Pi Cassiopeiae,4.949,infrared source,12.9,10.8669534470021,40,18.5596,Cassiopeia
Lambda Librae,5.027,infrared source,-2,238.3335637671145,137,8.5645,Libra
HD 50123,5.747,infrared source,13,102.5972824641846,175,5.1709,Canis Major
31 Crateris,5.264,infrared source,3,180.2131661562774,97,2.053,Corvus
Lambda Columbae,4.87,infrared source,30,88.2786757300979,88,9.6655,Columba
18 Aquilae,5.086,infrared source,-18.7,286.74417872208,50,4.67,Aquila
Omicron Persei,3.83,infrared source,12.2,56.079716849,90,2.91,Perseus
Lambda Columbae,4.87,astrophysical X-ray source,30,88.2786757300979,88,9.6655,Columba
Omicron Persei,3.83,astrophysical X-ray source,12.2,56.079716849,90,2.91,Perseus
