col0,col1,col2,col3,col4
Trofaiach,Cultural heritage monuments in Trofaiach,Austria,11125,1654
Grimmenstein,Cultural heritage monuments in Grimmenstein,Austria,1348,296
Spielfeld,Cultural heritage monuments in Straß in Steiermark,Austria,992,397
Tauplitz,Cultural heritage monuments in Bad Mitterndorf,Austria,1005,460
Sankt Martin im Innkreis,Cultural heritage monuments in Sankt Martin im Innkreis,Austria,2055,377
Scharnstein,Cultural heritage monuments in Scharnstein,Austria,4780,399
Gröbming,Cultural heritage monuments in Gröbming,Austria,3013,378
Rohr im Gebirge,Cultural heritage monuments in Rohr im Gebirge,Austria,476,73
Schwarzau am Steinfeld,Cultural heritage monuments in Schwarzau am Steinfeld,Austria,1924,399
Gallmannsegg,Cultural heritage monuments in Kainach bei Voitsberg,Austria,305,82
Enzenreith,Cultural heritage monuments in Enzenreith,Austria,1946,318
Arzberg,Cultural heritage monuments in Passail,Austria,544,173
Ladis,Cultural heritage monuments in Ladis,Austria,531,177
