col0,col1,col2,col3,col4
Literature Ireland ID,392,Peig Sayers,Literature Ireland,distinct values constraint
NooSFere author ID,10298,Isaac Asimov,NooSFere,distinct values constraint
Bibliothèque de la Pléiade ID,651,Denis Diderot,Bibliothèque de la Pléiade,distinct values constraint
Institut culturel de Bretagne ID,1100,Théophile Jeusset,Dictionnaire des écrivains bretons du XXe siècle,format constraint
Interbibly author ID,221,Anne de Rancourt,Interbibly,format constraint
CICLIC author ID,228,Alain Grousset,"Centre pour le livre, l'image et la culture numérique",format constraint
Livre et lecture en Bretagne ID,731,Paul Dirmeikis,Livre et lecture en Bretagne,format constraint
Eulalie ID,219,Benoit Caudoux,Eulalie,format constraint
Literature Ireland ID,392,Peig Sayers,Literature Ireland,format constraint
NooSFere author ID,10298,Isaac Asimov,NooSFere,format constraint
Bibliothèque de la Pléiade ID,651,Denis Diderot,Bibliothèque de la Pléiade,format constraint
Institut culturel de Bretagne ID,1100,Théophile Jeusset,Dictionnaire des écrivains bretons du XXe siècle,single value constraint
Interbibly author ID,221,Anne de Rancourt,Interbibly,single value constraint
CICLIC author ID,228,Alain Grousset,"Centre pour le livre, l'image et la culture numérique",single value constraint
Livre et lecture en Bretagne ID,731,Paul Dirmeikis,Livre et lecture en Bretagne,single value constraint
