col0,col1,col2,col3,col4,col5,col6,col7
V* CN Ara,-792.05,257.8179758126135,long period variable,3600,Mira variable,1162.82,J2000.0
V* QS Aps,-18.68,209.9807465239185,long period variable,3,Mira variable,3916.63,J2000.0
V* IS TrA,6.35,242.2991472056301,long period variable,3,Mira variable,1399.83,J2000.0
IRAS 16124-6841,29.15,244.3857427295004,long period variable,3,Mira variable,469.836,J2000.0
V* CM Ser,-36.93,244.9053463802157,long period variable,3,Mira variable,3296.42,J2000.0
V* CN Aqr,-44.38,317.1118532371513,long period variable,105,Mira variable,2350.43,J2000.0
V* FU Mus,32.37,195.8186001287423,long period variable,10,Mira variable,2113.62,J2000.0
V* V335 Aps,154.67,213.7153464104678,SRA semi-regular,16,Mira variable,2911.13,J2000.0
V* V643 Cen,-49.45,225.4141702220541,long period variable,3,Mira variable,2031.09,J2000.0
V* V566 Cen,-692.46,223.6863645032511,long period variable,3,Mira variable,1215.39,J2000.0
V* AM Tel,-757.99,281.584552103073,Mira variable,3,Mira variable,3375.56,J2000.0
V* EO Lup,-796.11,222.9873187510362,Mira variable,31600,Mira variable,1738.36,J2000.0
