col0,col1,col2,col3,col4,col5
family name,family name,Jack Bauer,Wikidata property encoding a vCard value,name,given name
given name,given name,George Washington,Wikidata property to indicate a name,name,family name
family name,family name,Jack Bauer,Wikidata property to indicate a name,name,given name
given name,given name,George Washington,Wikidata property for items about people,name,family name
family name,family name,Jack Bauer,Wikidata property for items about people,name,given name
date of birth,date of birth,Isaac Newton,property that may violate privacy,inception,date of death
street number,street number,White House,Wikidata property encoding a vCard value,series ordinal,located on street
date of birth,date of birth,Isaac Newton,Wikidata property encoding a vCard value,inception,date of death
street number,street number,White House,Wikidata qualifier,series ordinal,located on street
employer,employer,Neil Armstrong,Wikidata property encoding a vCard value,affiliation,affiliation string
family,family,Barack Obama,Wikidata property encoding a vCard value,member of,family name
spouse,spouse,Galileo Galilei,Wikidata property encoding a vCard value,relative,unmarried partner
father,father,daughter of Adrian II,Wikidata property encoding a vCard value,relative,godparent
spouse,spouse,Galileo Galilei,Wikidata property for human relationships,relative,unmarried partner
father,father,daughter of Adrian II,Wikidata property for human relationships,relative,godparent
