col0,col1,col2,col3
Glen Alpine Falls,El Dorado County,Lake Tahoe Basin Management Unit,73
Devich'i Kosy,Kabardino-Balkaria,Prielbrusye National Park,31.7
Fallingwater Cascades,Botetourt County,George Washington and Jefferson National Forests,100
Galovački buk,Lika-Senj County,Plitvice Lakes National Park,25
Veliki slap,Lika-Senj County,Plitvice Lakes National Park,78
Paulina Falls,Deschutes County,Newberry National Volcanic Monument,24
Tahquamenon Falls,Michigan,Tahquamenon Falls State Park,15
James Bruce Falls,British Columbia,Princess Louisa Marine Provincial Park,840
Vernal Fall,Mariposa County,Yosemite Wilderness,97
Montmorency Falls,Quebec City,Parc de la Chute-Montmorency,85
Murchison Falls,Uganda,Murchison Falls National Park,43
