col0,col1,col2,col3,col4
Curtain Fragment with Galloping Horse,item of collection or exhibition,plain weave,Cleveland Museum of Art Open Access project,Curtain Fragment with Galloping Horse
Resist-Dyed Hanging with Biblical Scenes,item of collection or exhibition,resist dyeing,Cleveland Museum of Art Open Access project,Resist-Dyed Hanging with Biblical Scenes
"Fragment with stars in stacked squares, from a dalmatic of San Valero",item of collection or exhibition,double weaving,Cleveland Museum of Art Open Access project,"Fragment with stars in stacked squares, from a dalmatic of San Valero"
Cloth of gold with felines and eagles,item of collection or exhibition,lampas weave,Cleveland Museum of Art Open Access project,Cloth of gold with felines and eagles
"Tigers Chasing Deer, with Dragon",item of collection or exhibition,tapestry weaving,Cleveland Museum of Art Open Access project,"Tigers Chasing Deer, with Dragon"
Fragment with Satyr and Maenad,item of collection or exhibition,plain weave,Cleveland Museum of Art Open Access project,Fragment with Satyr and Maenad
Ornamental Square from a Tunic,item of collection or exhibition,supplementary weaving,Cleveland Museum of Art Open Access project,Ornamental Square from a Tunic
"Roundel, Segmentum from a Tunic",item of collection or exhibition,tapestry weaving,Cleveland Museum of Art Open Access project,"Roundel, Segmentum from a Tunic"
Chasuble Fragment with Realistic Animals,fragment,lampas weave,Cleveland Museum of Art Open Access project,Chasuble Fragment with Realistic Animals
Curtain Fragment with Galloping Horse,fragment,plain weave,Cleveland Museum of Art Open Access project,Curtain Fragment with Galloping Horse
"Fragment with stars in stacked squares, from a dalmatic of San Valero",fragment,double weaving,Cleveland Museum of Art Open Access project,"Fragment with stars in stacked squares, from a dalmatic of San Valero"
Cap,cap,quilting,Cleveland Museum of Art Open Access project,Cap
Cloth of gold with felines and eagles,cloth of gold,lampas weave,Cleveland Museum of Art Open Access project,Cloth of gold with felines and eagles
Chasuble Fragment with Realistic Animals,lampas,lampas weave,Cleveland Museum of Art Open Access project,Chasuble Fragment with Realistic Animals
Cloth of gold with felines and eagles,lampas,lampas weave,Cleveland Museum of Art Open Access project,Cloth of gold with felines and eagles
