col0,col1,col2,col3,col4
cour des Bretons,238,Hôpital-Saint-Louis,rue du Faubourg-du-Temple,France
cour de la Grâce-de-Dieu,133,Hôpital-Saint-Louis,rue du Faubourg-du-Temple,France
cour des Bretons,238,10th arrondissement of Paris,rue du Faubourg-du-Temple,France
cour de la Grâce-de-Dieu,133,10th arrondissement of Paris,rue du Faubourg-du-Temple,France
cour de la Ferme-Saint-Lazare,162,10th arrondissement of Paris,boulevard de Magenta,France
cour du Commerce-Saint-André,120,6th arrondissement of Paris,boulevard Saint-Germain,France
cour du Nom-de-Jésus,34,Roquette,rue du Faubourg-Saint-Antoine,France
cour Viguès,31,Roquette,rue du Faubourg-Saint-Antoine,France
cour Saint-Louis,155,Roquette,rue du Faubourg-Saint-Antoine,France
cour des Trois-Frères,100,Sainte-Marguerite,rue du Faubourg-Saint-Antoine,France
cour de la Maison-Brûlée,100,Sainte-Marguerite,rue du Faubourg-Saint-Antoine,France
cour de l'Ours,90,Sainte-Marguerite,rue du Faubourg-Saint-Antoine,France
