col0,col1,col2,col3
Hashikami,UTC+09:00,Sannohe District,Japan
Kamiyama,UTC+09:00,Myōzai District,Japan
Nishikawa,UTC+09:00,Nishimurayama District,Japan
Jinsekikōgen,UTC+09:00,Jinseki District,Japan
Kawanishi,UTC+09:00,Higashiokitama District,Japan
Sera,UTC+09:00,Sera District,Japan
Obuse,UTC+09:00,Kamitakai District,Japan
Shinano,UTC+09:00,Kamiminochi District,Japan
Shichinohe,UTC+09:00,Kamikita District,Japan
Oirase,UTC+09:00,Kamikita District,Japan
Tokunoshima,UTC+09:00,Ōshima District,Japan
Amagi,UTC+09:00,Ōshima District,Japan
Takachiho,UTC+09:00,Nishiusuki District,Japan
Misato,UTC+09:00,Higashiusuki District,Japan
