col0,col1,col2,col3,col4
Buschtunnel,Aachen,691,DB Netz,1843-01-01
Furka Base Tunnel,canton of Valais,15381,Matterhorn Gotthard Bahn,1982-06-25
Seikan Tunnel,Shiriuchi,53850,Hokkaido Railway Company,1985-03-10
Tünel,Beyoğlu,573,İETT,1875-01-17
Schibli-Tunnel,Hamburg-Mitte,106.5,AKN Eisenbahn,1924-01-01
Lötschberg Tunnel,canton of Valais,14612,BLS AG,1913-06-03
Albula Tunnel,Graubünden,5865,Rhaetian Railway,1903-04-15
Gotthard Tunnel,Uri,15.003,Swiss Federal Railways,1882-05-22
Zürichberg Tunnel,canton of Zürich,4968,Swiss Federal Railways,1990-01-01
Simplon Tunnel,canton of Valais,19800,Swiss Federal Railways,1906-05-19
