col0,col1,col2,col3,col4
Památné douglasky u Zátiší,remarkable tree,Svatoslav,tree,Czech Republic
Skupina stromů u tvrze,remarkable tree,Štěměchy,tree,Czech Republic
Památné jasany u Trnavy,remarkable tree,Trnava,tree,Czech Republic
Skupina šesti dubů,remarkable tree,Třebíč,tree,Czech Republic
Group of three oaks,remarkable tree,Třebíč,tree,Czech Republic
4 oaks in Bažantnice,remarkable tree,Třebíč,tree,Czech Republic
U Dvou dubů,remarkable tree,Moravské Budějovice,tree,Czech Republic
Lípy popravených vlastenců,grove,Valašské Meziříčí,tree,Czech Republic
Helštýnské lípy,grove,Valašské Meziříčí,tree,Czech Republic
Duby pod táborem,grove,Buchlovice,tree,Czech Republic
