col0,col1,col2,col3,col4,col5,col6
1932 Irish Open Badminton Championships,open championship,1931 Irish Open Badminton Championships,1932-01-01,1933 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1931 Irish Open Badminton Championships,open championship,1930 Irish Open Badminton Championships,1931-01-01,1932 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1930 Irish Open Badminton Championships,open championship,1929 Irish Open Badminton Championships,1930-01-01,1931 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1929 Irish Open Badminton Championships,open championship,1928 Irish Open Badminton Championships,1929-01-01,1930 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1920 Irish Open Badminton Championships,open championship,1914 Irish Open Badminton Championships,1920-01-01,1921 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1913 Irish Open Badminton Championships,open championship,1912 Irish Open Badminton Championships,1913-01-01,1914 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1912 Irish Open Badminton Championships,open championship,1911 Irish Open Badminton Championships,1912-01-01,1913 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
2011 Irish Open Badminton Championships,open championship,2010 Irish Open Badminton Championships,2011-01-01,2012 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
2010 Irish Open Badminton Championships,open championship,2009 Irish Open Badminton Championships,2010-01-01,2011 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
2008 Irish Open Badminton Championships,open championship,2007 Irish Open Badminton Championships,2008-01-01,2009 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
2004 Irish Open Badminton Championships,open championship,2003 Irish Open Badminton Championships,2004-01-01,2005 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list,badminton
