col0,col1,col2,col3,col4,col5
HD 156826,J2000.0,4.7,-192.996,7.22,4400000
Sigma2 Coronae Borealis,J2000.0,29.4,-268.325,7.47,766000
Gamma2 Delphini,J2000.0,3.6,-196.058,0.09,11700000
HD 153882,J2000.0,23,-1.655,0.61,4910000
PZ Telescopii,J2000.0,69,-85.254,-0.04,974000
EK Draconis,J2000.0,16.8,-135.991,0.05,696000
HD 207129,J2000.0,0.1,-295.397,0.08,682000
BX Boötis,J2000.0,39,-9.368,0.63,3490000
37 Tauri,J2000.0,2.8,-58.695,0.09,15700000
11 Comae Berenices,J2000.0,2.96,-109.241,-0.51,21600000
HD 164249,J2000.0,20,-86.098,-0.07,884000
HD 177412,J2000.0,2.2,5.328,-0.26,2540000
