col0,col1,col2,col3,col4,col5,col6
Shyriaieve,Shyriaieve municipality,Shyriaieve municipality,7238,Ukraine,UTC+02:00,city of district significance
Tysmenytsia,Tysmenytsia Raion,Tysmenytsia Raion,9287,Ukraine,UTC+02:00,city of district significance
Shyriaieve,Shyriaieve municipality,Shyriaieve municipality,7238,Ukraine,UTC+02:00,urban-type settlement in Ukraine
Shatsk,Shatsk Raion,Shatsk Raion,5320,Ukraine,UTC+02:00,urban-type settlement in Ukraine
Shyriaieve,Shyriaieve municipality,Shyriaieve municipality,7238,Ukraine,UTC+02:00,urban-type settlement
Lyntupy,Lyntupy village council,Lyntupy village council,1600,Belarus,UTC+03:00,urban-type settlement
Dobroslav,Lyman Raion,Lyman Raion,6863,Ukraine,UTC+02:00,urban-type settlement
Shatsk,Shatsk Raion,Shatsk Raion,5320,Ukraine,UTC+02:00,urban-type settlement
Ovidiopol,Ovidiopol Raion,Ovidiopol Raion,11741,Ukraine,UTC+02:00,urban-type settlement
Liozna,Liozna District,Liozna District,6600,Belarus,UTC+03:00,urban-type settlement
