col0,col1,col2,col3,col4,col5
Whitestone Drive-In,United States of America,"2505 Bruckner Boulevard, Bronx, NY 10465",Throggs Neck,The Bronx,former building or structure
Sepulveda Drive-In,United States of America,"6161 Sepulveda Boulevard, Van Nuys, CA 91411",Van Nuys,Los Angeles,former building or structure
Van Nuys Drive-In,United States of America,"15040 Roscoe Boulevard, Van Nuys, CA 91343",Van Nuys,Los Angeles,former building or structure
Whitestone Drive-In,United States of America,"2505 Bruckner Boulevard, Bronx, NY 10465",Throggs Neck,The Bronx,drive-in theater
Sepulveda Drive-In,United States of America,"6161 Sepulveda Boulevard, Van Nuys, CA 91411",Van Nuys,Los Angeles,drive-in theater
Van Nuys Drive-In,United States of America,"15040 Roscoe Boulevard, Van Nuys, CA 91343",Van Nuys,Los Angeles,drive-in theater
Whitestone Drive-In,United States of America,"2505 Bruckner Boulevard, Bronx, NY 10465",Throggs Neck,The Bronx,movie theater
Sepulveda Drive-In,United States of America,"6161 Sepulveda Boulevard, Van Nuys, CA 91411",Van Nuys,Los Angeles,movie theater
Van Nuys Drive-In,United States of America,"15040 Roscoe Boulevard, Van Nuys, CA 91343",Van Nuys,Los Angeles,movie theater
Sunland Drive-In,United States of America,"8010 Foothill Boulevard, Sunland, Los Angeles CA 91040",Sunland-Tujunga,Los Angeles,former building or structure
San Pedro Drive-In,United States of America,"1811 N. Gaffey Street, San Pedro, CA 90731",San Pedro,Los Angeles,former building or structure
Reseda Drive-In,United States of America,"18441 Vanowen Street, Reseda, CA 91335",Reseda,Los Angeles,former building or structure
