col0,col1,col2,col3,col4,col5,col6,col7
Applications of the InChI in cheminformatics with the CDK and Bioclipse,scientific article,Java,Applications of the InChI in cheminformatics with the CDK and Bioclipse,2013-01-01,English,7,InChI - the worldwide chemical structure identifier standard
Negation scope and spelling variation for text-mining of Danish electronic patient records,scientific article,patient,Negation scope and spelling variation for text-mining of Danishelectronic patient records,2014-04-01,English,5,Mining electronic health records: towards better research applications and clinical care
Complura: Exploring and Leveraging a Large-scale Multilingual Visual Sentiment Ontology,scientific article,ontology,Complura: Exploring and Leveraging a Large-scale Multilingual Visual Sentiment Ontology,2016-01-01,English,4,A Novel Approach to Visualizing and Navigating Ontologies
Roman military equipment,scientific article,Roman military personal equipment,Roman military equipment,2004-03-01,English,4,Writing the Legions: The Development and Future of Roman Military Studies in Britain
The move to open access and growth: experience from Journal of Hymenoptera Research,scientific article,Hymenoptera,The move to open access and growth: experience from Journal of Hymenoptera Research,2013-01-30,English,6,"A review of New World Eurytenes s. str. (Hymenoptera, Braconidae, Opiinae)"
Article-level metrics and the evolution of scientific impact,scientific article,scientometrics,Article-level metrics and the evolution of scientific impact,2009-11-01,English,6,The Impact Factor Game
Foreword : Wikipedia and the Sum of All Human Information,scientific article,Wikipedia,Foreword : Wikipedia and the Sum of All Human Information,2016-03-13,English,5,You Are Not a Gadget
Shape Designer for ShEx and SHACL constraints,scientific article,SHACL,Shape Designer for ShEx and SHACL constraints,2019-09-26,English,4,Inference of Latent Shape Expressions Associated to DBpedia Ontology
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",scientific article,Danish,"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",2018-01-01,English,4,The Danish Thesaurus: Problems and Perspectives
T2WML: Table To Wikidata Mapping Language,scientific article,Wikidata,T2WML: Table To Wikidata Mapping Language,2019-01-01,English,4,Karma: A System for Mapping Structured Sources into the Semantic Web
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",scientific article,Danish,"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",2018-01-01,English,4,"WebAnno: A Flexible, Web-based and Visually Supported System for Distributed Annotations"
Shape Designer for ShEx and SHACL constraints,scientific article,SHACL,Shape Designer for ShEx and SHACL constraints,2019-09-26,English,4,Schema Inference on Wikidata
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",scientific article,Danish,"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",2018-01-01,English,4,The Danish FrameNet Lexicon: Method and Lexical Coverage
RDFShape: An RDF playground based on Shapes,scientific article,SPARQL,RDFShape: An RDF playground based on Shapes,2018-09-24,English,4,Validating RDF Data
