col0,col1,col2,col3,col4,col5
Corbières AOC,appellation d'origine contrôlée,French wine,1985-01-01,Aude,France
Médoc AOC,appellation d'origine contrôlée,French wine,1938-01-01,Gironde,France
Anjou wine,appellation d'origine contrôlée,French wine,1936-01-01,Maine-et-Loire,France
Fronsac AOC,appellation d'origine contrôlée,French wine,1937-01-01,Gironde,France
Muscat de Rivesaltes AOC,appellation d'origine contrôlée,French wine,1956-01-01,Pyrénées-Orientales,France
Palette AOC,appellation d'origine contrôlée,French wine,1948-01-01,Bouches-du-Rhône,France
Saint-Joseph AOC,appellation d'origine contrôlée,French wine,1956-01-01,Ardèche,France
Crozes-Hermitage AOC,appellation d'origine contrôlée,French wine,1937-01-01,Drôme,France
Altenberg de Bergbieten,appellation d'origine contrôlée,Alsace Grand Cru AOC,1983-01-01,Bas-Rhin,France
Osterberg,appellation d'origine contrôlée,Alsace Grand Cru AOC,1992-01-01,Ribeauvillé,France
