col0,col1,col2,col3,col4
Soyuz TM-17,Russia,Soyuz TM-16,Soyuz TM-18,Roscosmos State Corporation
Soyuz TM-26,Russia,Soyuz TM-25,Soyuz TM-27,Roscosmos State Corporation
Soyuz 18,Soviet Union,Soyuz 18a,Soyuz 19,Soviet space program
Soyuz 28,Soviet Union,Soyuz 27,Soyuz 29,Soviet space program
Soyuz TM-2,Soviet Union,Soyuz TM-15,Soyuz TM-3,Soviet space program
Soyuz T-2,Soviet Union,Soyuz 36,Soyuz 37,Soviet space program
Soyuz T-11,Soviet Union,Soyuz T-10,Soyuz T-12,Soviet space program
Soyuz 35,Soviet Union,Soyuz 34,Soyuz 36,Soviet space program
Soyuz TM-12,Soviet Union,Soyuz TM-11,Soyuz TM-13,Soviet space program
Soyuz T-8,Soviet Union,Soyuz T-7,Soyuz T-9,Soviet space program
Soyuz 27,Soviet Union,Soyuz 26,Soyuz 28,Soviet space program
Soyuz T-4,Soviet Union,Soyuz T-3,Soyuz 39,Soviet space program
Soyuz 18,Soviet Union,Soyuz 18a,Apollo–Soyuz Test Project,Soviet space program
Soyuz TM-27,Russia,Soyuz TM-26,Soyuz TM-28,Roscosmos State Corporation
Soyuz TM-19,Russia,Soyuz TM-18,Soyuz TM-20,Roscosmos State Corporation
