col0,col1,col2,col3,col4,col5
The Estate Owner Johannes Hage,Ludvig Brandstrup,Nivaagaard Museum,1918-01-01,Nivaagaard Museum,21
Marble Bust of Peter Heise,Herman Wilhelm Bissen,Nivaagaard Museum,1862-01-01,Nivaagaard Museum,39
"Bust of Mrs V. Heise, née Hage",Herman Wilhelm Bissen,Nivaagaard Museum,1860-01-01,Nivaagaard Museum,38
Marble Bust of Carl Ploug,Herman Wilhelm Bissen,Nivaagaard Museum,1857-01-01,Nivaagaard Museum,32
Bust of the Merchant and Politician Alfred Hage,Herman Wilhelm Bissen,Nivaagaard Museum,1859-01-01,Nivaagaard Museum,31
"Marble Bust of Hother Hage, who died in Childhood",Herman Wilhelm Bissen,Nivaagaard Museum,1848-01-01,Nivaagaard Museum,18
Bust of Charles Bonnet-MAH 1825-0027,James Pradier,Musée d'Art et d'Histoire,1822-01-01,Musée d'Art et d'Histoire,32
Bust of Jean-Jacques Rousseau-MAH 1825-0028,James Pradier,Musée d'Art et d'Histoire,1821-01-01,Musée d'Art et d'Histoire,32.5
Saint John the Baptist,anonymous,National Gallery of Art,1400-01-01,Samuel H. Kress Collection,38.5
"Bust of Philibert le Beau, Duke of Savoy",Conrat Meit,Bode Museum,1524-01-01,Skulpturensammlung und Museum für Byzantinische Kunst,11.2
Bust of Louis Charles Dauphin of France-Louis Pierre Deseine-MV 6305,Louis-Pierre Deseine,Palace of Versailles,1790-01-01,Queen's room,31
Bust of Louis Charles Dauphin of France-Louis Pierre Deseine-1985.403,Louis-Pierre Deseine,Palace of Versailles,1790-01-01,Musée de la Révolution française,31
Bust of Suffren de Saint-Tropez,Isidore Hippolyte Nicolas Brion,Section Navigation et Voyages,1830-01-01,Musée national de la Marine,67
Bust of Lamotte-Piquet,Isidore Hippolyte Nicolas Brion,Section Navigation et Voyages,1833-01-01,Musée national de la Marine,65
Bust,Hans Michelsen,Bogstad,1819-01-01,Norwegian Museum of Cultural History,22
