col0,col1,col2,col3,col4,col5
Römerbrücke,Rhine,Germany,Hesse,stone bridge,22
Römerbrücke,Rhine,Germany,Cologne,stone bridge,20
Pont Flavien,Touloubre,France,Saint-Chamas,stone bridge,1
Pont Julien,Calavon,France,Apt,stone bridge,3
Roman Bridge of Chaves,Tâmega River,Portugal,Madalena e Samaiões,stone bridge,12
Pont-Saint-Martin,Lys,Italy,"Pont-Saint-Martin, Aosta Valley",stone bridge,1
Ponte Milvio,Tiber,Italy,Rome,stone bridge,6
Alcántara Bridge,Tagus river,Spain,Alcántara,stone bridge,8
Bridge near Limyra,Alakır Çayı,Turkey,Limyra,stone bridge,28
Alconétar Bridge,Tagus river,Spain,Garrovillas de Alconétar,stone bridge,18
Pons Fabricius,Tiber,Italy,Rome,stone bridge,2
Pont des Marchands,Canal de la Robine,France,Narbonne,stone bridge,1
Puente Romano,Guadiana,Spain,Mérida,stone bridge,60
