col0,col1,col2,col3
Portrait of Heinrich Proch.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Charles Gounod.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Carlo Alfredo Piatti.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of unknown,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Franco Faccio.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Domenico Mustafà.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Stefano Gobatti.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Johannes Brahms.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Giovanni Goria.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Carlo Pedrotti.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Henryk Wieniawski.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Clemens August Kiel.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Stephen Heller.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Valentino Fioravanti.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Luigi Taparelli D'Azeglio.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
