col0,col1,col2,col3,col4
Bishop Court Apartments,apartment building,Canada,classified heritage immovable,Bishop Street
Kennedy-Warren Apartment Building,low-rise building,United States of America,place listed on the National Register of Historic Places,Connecticut Avenue NW
The Ansonia,skyscraper,United States of America,place listed on the National Register of Historic Places,Broadway
The San Remo,skyscraper,United States of America,New York City Landmark,Central Park West
Belgrave Hospital for Children,apartment building,United Kingdom,Grade II* listed building or structure,Clapham Road
The Normandy,apartment building,United States of America,New York City Landmark,Riverside Drive
The Century,apartment building,United States of America,New York City Landmark,Central Park West
The Belnord,apartment building,United States of America,place listed on the National Register of Historic Places,86th Street
The Apthorp,apartment building,United States of America,place listed on the National Register of Historic Places,Broadway
The Belnord,revenue house,United States of America,place listed on the National Register of Historic Places,86th Street
The Apthorp,multiple dwellings,United States of America,place listed on the National Register of Historic Places,Broadway
