col0,col1,col2,col3,col4
Kennedy Space Center,United States of America,space center,Florida,National Aeronautics and Space Administration
Xichang Satellite Launch Center,People's Republic of China,architectural structure,Sichuan,China National Space Administration
Rocket Lab Launch Complex 2,United States of America,spaceport,Virginia,Rocket Lab
Manuel Belgrano Space Center,Argentina,spaceport,Province of Buenos Aires,Comisión Nacional de Actividades Espaciales
Rocket Lab Launch Complex 1,New Zealand,spaceport,Hawke's Bay Region,Rocket Lab
Punta Indio Space Center,Argentina,spaceport,Punta Indio Partido,Comisión Nacional de Actividades Espaciales
RAAF Woomera Range Complex,Australia,spaceport,South Australia,Royal Australian Air Force
Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados Mar Chiquita,Argentina,spaceport,Province of Buenos Aires,Argentine Air Force
Barreira do Inferno Launch Center,Brazil,spaceport,Parnamirim,Brazilian Air Force
Vandenberg AFB Space Launch Complex 10,United States of America,spaceport,Santa Barbara County,United States Air Force
Sonmiani,Pakistan,spaceport,Lasbela District,Space and Upper Atmosphere Research Commission
