col0,col1,col2,col3
Hugh Norris Trail,hiking trail,United States of America,Wasson Peak
Guadalupe Peak Trail,hiking trail,United States of America,Guadalupe Peak
Guadalupe Ridge Trail,hiking trail,United States of America,Guadalupe Peak
Jaskan hiking trail,hiking trail,Croatia,Japetić
Clingmans Dome Trail,hiking trail,United States of America,Clingmans Dome
Lassen Peak Trail,hiking trail,United States of America,Lassen Peak
Wapack Trail,hiking trail,United States of America,Pack Monadnock
Midstate Trail,hiking trail,United States of America,Mount Wachusett
Devil's Path,hiking trail,United States of America,West Kill Mountain
Metacomet Trail,hiking trail,United States of America,West Peak
John Muir Trail,long-distance trail,United States of America,Mount Whitney
West Highland Way,Great Trail,United Kingdom,Devil's Staircase
