col0,col1,col2,col3,col4,col5
Lampas with dancers and musicians,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Fragment with palmette arches with Alhambra wall pattern,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Mantle for a Statue of the Virgin with Lotus Blossoms and Medallions,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Silk Textile with Goatherds in a Landscape,copyrighted,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Lampas with scrolling vines and grape leaves,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Parrots and Animals,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Fragment with musicians,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Silk Textile,copyrighted,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Silk Fragment,public domain,Cleveland Museum of Art Open Access project,silk,textile,Cleveland Museum of Art
Chasuble Fragment with Realistic Animals,public domain,Cleveland Museum of Art Open Access project,silk,textile,Cleveland Museum of Art
