col0,col1,col2,col3,col4,col5,col6,col7
La Rencontre,Antwerp,9,David Lichine,Royal Ballet of Flanders,Guido Canfijn,ballet production,French
Ode,Antwerp,32,Jeanne Brabants,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Opus Vivaldi,Sint-Niklaas,141,Aimé De Lignière,Royal Ballet of Flanders,Guido Canfijn,ballet production,Latin
Inner Page,Amstelveen,33,Aimé De Lignière,Royal Ballet of Flanders,Guido Canfijn,ballet production,English
Gladiatoren,Merksem,1,Konstantin Chatilov,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
"Presto, Vivo e Lento",Izegem,48,Jeanne Brabants,Royal Ballet of Flanders,Guido Canfijn,ballet production,Italian
Acht,Antwerp,12,Aimé De Lignière,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Confrontation,Antwerp,24,André Leclair,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Bewegingen,Ghent,33,André Leclair,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Satirische Suite,Antwerp,18,André Leclair,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Halewijn,Brussels,58,André Leclair,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
Freule Julie,Antwerp,32,Birgit Cullberg,Royal Ballet of Flanders,Guido Canfijn,ballet production,German
Aranea,Auderghem,20,Janine Charrat,Royal Ballet of Flanders,Guido Canfijn,ballet production,Latin
Symfonie,Antwerp,24,André Leclair,Royal Ballet of Flanders,Guido Canfijn,ballet production,Dutch
De Bijen,Brussels,12,Witaly Osins,Royal Ballet of Flanders,Herman Markard,ballet production,Dutch
