col0,col1,col2,col3,col4,col5,col6
Berlin,3644826,Germany,Potsdam-Mittelmark District,Central European Time,Germany,Los Angeles
Cieszyn,36119,Duchy of Teschen,Český Těšín,UTC+01:00,Poland,Český Těšín
Komárom,18805,Komárom  District,Zlatná na Ostrove,UTC+01:00,Hungary,Naumburg
Cieszyn,36119,Duchy of Teschen,Gmina Goleszów,UTC+02:00,Poland,Genk
Komárom,18805,Komárom  District,Zlatná na Ostrove,UTC+01:00,Hungary,Sosnowiec
Cieszyn,36119,Cieszyn County,Gmina Goleszów,UTC+02:00,Poland,Lucerne
Berlin,3644826,Germany,Kleinmachnow,UTC+01:00,Germany,Los Angeles
Frankfurt,58237,former Frankfurt (Oder) District,Märkisch-Oderland District,UTC+01:00,Germany,Słubice
Komárom,18805,Komárom  District,Zlatná na Ostrove,UTC+01:00,Hungary,Komárno
Berlin,3644826,Germany,Brandenburg,UTC+01:00,Germany,Los Angeles
Komárom,18805,Komárom  District,Zlatná na Ostrove,UTC+01:00,Hungary,Sebeș
Frankfurt,58237,former Frankfurt (Oder) District,Oder-Spree District,UTC+01:00,Germany,Tzoran-Kadima
Nova Gorica,13852,Goriška Statistical Region,Savogna d'Isonzo,UTC+01:00,Slovenia,Aleksandrovac
Frankfurt,58237,former Frankfurt (Oder) District,Oder-Spree District,UTC+01:00,Germany,Heilbronn
