col0,col1,col2,col3,col4,col5,col6
Qwilfish,water-type Pokémon,50,Pokémon universe,list of Pokémon introduced in Generation II,39,gray
Tentacruel,water-type Pokémon,160,Pokémon universe,list of Pokémon introduced in Generation I,55,blue
Arceus,bug-type Pokémon,320,Pokémon universe,list of Pokémon introduced in Generation IV,320,gray
Ariados,bug-type Pokémon,110,Pokémon universe,list of Pokémon introduced in Generation II,335,red
Arceus,electric-type Pokémon,320,Pokémon universe,list of Pokémon introduced in Generation IV,320,gray
Kakuna,poison-type Pokémon,60,Pokémon universe,list of Pokémon introduced in Generation I,10,yellow
Ivysaur,poison-type Pokémon,2,Pokémon universe,list of Pokémon introduced in Generation I,13,green
Arceus,poison-type Pokémon,320,Pokémon universe,list of Pokémon introduced in Generation IV,320,gray
Ariados,poison-type Pokémon,110,Pokémon universe,list of Pokémon introduced in Generation II,335,red
Bulbasaur,poison-type Pokémon,0.7,Pokémon universe,list of Pokémon introduced in Generation I,6.9,green
Ivysaur,grass-type Pokémon,2,Pokémon universe,list of Pokémon introduced in Generation I,13,green
Arceus,grass-type Pokémon,320,Pokémon universe,list of Pokémon introduced in Generation IV,320,gray
Bulbasaur,grass-type Pokémon,0.7,Pokémon universe,list of Pokémon introduced in Generation I,6.9,green
