col0,col1,col2,col3
A Night Like This,256,1985-08-13,Boris Williams
Close to Me,203,1985-08-13,Boris Williams
The Baby Screams,224,1985-08-13,Boris Williams
Push,271,1985-08-13,Boris Williams
Six Different Ways,198,1985-08-13,Boris Williams
The Blood,223,1985-08-13,Boris Williams
Kyoto Song,256,1985-08-13,Boris Williams
Inbetween Days,177,1985-07-15,Boris Williams
The Top,410,1984-05-04,Andy Anderson
Bananafishbones,192,1984-05-04,Andy Anderson
The Empty World,156,1984-05-04,Andy Anderson
Piggy in the Mirror,220,1984-05-04,Andy Anderson
