col0,col1,col2,col3
Clarksville,7.606054,Occoneechee Harbor,1821-02-20
West Warwick,8.1,Pawtuxet River,1913-01-01
Clarksville,7.606054,Roanoke River,1821-02-20
Bloomsburg,4.69,Susquehanna River,1797-01-01
San Luis,1.448998,Culebra Creek,1851-04-09
Scofield,2.386682,Mud Creek,1879-01-01
Huntsville,2.299547,Pineview Reservoir,1860-01-01
Scofield,2.386682,Scofield Reservoir,1879-01-01
Charleston,7.862833,Deer Creek Reservoir,1852-01-01
Henefer,6.371878,Weber River,1853-01-01
Springdale,11.953221,Virgin River,1862-01-01
