col0,col1,col2,col3,col4,col5,col6,col7
USS Bassett,Consolidated Steel Corporation,Orange,United States of America,Buckley-class destroyer escort,United States Navy,Edgar R. Bassett,destroyer escort
USS Pope,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,John Pope,destroyer escort
USS Samuel B. Roberts,Brown Shipbuilding,Houston,United States of America,John C. Butler-class destroyer escort,United States Navy,Samuel B. Roberts,destroyer escort
USS Frybarger,Defoe Shipbuilding Company,Bay City,United States of America,Buckley-class destroyer escort,United States Navy,"Raymond Frybarger, Jr.",destroyer escort
USS Frost,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Holloway Halstead Frost,destroyer escort
USS Frederick C. Davis,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Frederick Curtice Davis,destroyer escort
USS Flaherty,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Francis C. Flaherty,destroyer escort
USS Fessenden,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Reginald Fessenden,destroyer escort
USS Farquhar,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Norman von Heldreich Farquhar,destroyer escort
USS Falgout,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,George I. Falgout,destroyer escort
USS Douglas L. Howard,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Douglas Legate Howard,destroyer escort
