col0,col1,col2,col3,col4,col5,col6
Vandalism Detection in Wikidata,"Trust, but verify",scientific conference paper,2016-01-01,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10,Martin Potthast
Analysis of Wikipedia's Translation Tool and its uses in Education,Multilinguals and Wikipedia editing,scientific conference paper,2017-04-01,"Proceedings of the 5th Panhellenic Scientific Conference ""Integration and Use of ICT in the Educational Process""",8,Marios Magioladitis
Vandalism Detection in Wikidata,Towards Automatic Vandalism Detection in OpenStreetMap,scientific conference paper,2016-01-01,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10,Martin Potthast
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,scientific conference paper,2018-08-27,German medical science : GMS e-journal,1,Daniel Mietchen
Vandalism Detection in Wikidata,Detecting Wikipedia vandalism via spatio-temporal analysis of revision metadata?,scientific conference paper,2016-01-01,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10,Martin Potthast
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,"Data organization of a Collaborative Research Center in an integrated, long-term research data platform",scientific conference paper,2018-08-27,German medical science : GMS e-journal,1,Daniel Mietchen
Classification of Knowledge Organization Systems with Wikidata,Peer-production system or collaborative ontology engineering effort: what is Wikidata?,scientific conference paper,2016-09-01,Proceedings of the 15th European Networked Knowledge Organization Systems Workshop,8,Jakob Voss
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,"Scholia, Scientometrics and Wikidata",scientific conference paper,2018-08-27,German medical science : GMS e-journal,1,Daniel Mietchen
Introducing Wikidata to the Linked Data Web,DBpedia - A crystallization point for the Web of Data,scientific conference paper,2014-01-01,"The Semantic Web – ISWC 2014, Part I",16,Denny Vrandečić
Vandalism Detection in Wikidata,Freebase: a collaboratively created graph database for structuring human knowledge,scientific conference paper,2016-01-01,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10,Martin Potthast
Introducing Wikidata to the Linked Data Web,Freebase: a collaboratively created graph database for structuring human knowledge,scientific conference paper,2014-01-01,"The Semantic Web – ISWC 2014, Part I",16,Denny Vrandečić
