col0,col1,col2,col3,col4,col5,col6
2018 Tour of the Alps,2.HC,2018-04-16,Italy,2017 Tour of the Alps,road bicycle racing,Tour of the Alps 2019
2017 Tour of the Alps,2.HC,2017-04-17,Italy,2016 Giro del Trentino,road bicycle racing,2018 Tour of the Alps
2016 Giro del Trentino,2.HC,2016-04-19,Italy,2015 Giro del Trentino,road bicycle racing,2017 Tour of the Alps
2018 Tour of the Alps,Tour of the Alps,2018-04-16,Italy,2017 Tour of the Alps,road bicycle racing,Tour of the Alps 2019
2005 Giro del Trentino,Tour of the Alps,2005-04-19,Italy,2004 Giro del Trentino,road bicycle racing,2006 Giro del Trentino
2002 Giro del Trentino,Tour of the Alps,2002-04-25,Italy,2001 Giro del Trentino,road bicycle racing,2003 Giro del Trentino
2001 Giro del Trentino,Tour of the Alps,2001-04-24,Italy,2000 Giro del Trentino,road bicycle racing,2002 Giro del Trentino
2000 Giro del Trentino,Tour of the Alps,2000-04-24,Italy,1999 Giro del Trentino,road bicycle racing,2001 Giro del Trentino
1999 Giro del Trentino,Tour of the Alps,1999-04-26,Italy,1998 Giro del Trentino,road bicycle racing,2000 Giro del Trentino
1998 Giro del Trentino,Tour of the Alps,1998-04-27,Italy,1997 Giro del Trentino,road bicycle racing,1999 Giro del Trentino
