col0,col1,col2,col3,col4,col5,col6,col7
Eureka A,2016-01-01,daily data interval,10.4,1947-01-01,Meteorological Service of Canada,Canada,Nunavut
Clyde A,2013-01-01,daily data interval,26.5,1933-01-01,Meteorological Service of Canada,Canada,Nunavut
Cape Dyer A,1994-01-01,daily data interval,392.6,1959-01-01,Meteorological Service of Canada,Canada,Nunavut
Cape Dorset A,2014-01-01,daily data interval,48.2,1963-01-01,Meteorological Service of Canada,Canada,Nunavut
Cambridge Bay A,2015-01-01,daily data interval,31.09,1929-01-01,Meteorological Service of Canada,Canada,Nunavut
Byron Bay A,1994-01-01,daily data interval,92.1,1955-01-01,Meteorological Service of Canada,Canada,Nunavut
Qikiqtarjuaq A,2016-01-01,daily data interval,5.5,1988-01-01,Meteorological Service of Canada,Canada,Nunavut
Whale Cove A,2014-01-01,daily data interval,12.19,1984-01-01,Meteorological Service of Canada,Canada,Nunavut
Rankin Inlet A,2013-01-01,daily data interval,32.31,1981-01-01,Meteorological Service of Canada,Canada,Nunavut
Kugaaruk A,2015-01-01,daily data interval,15.54,1984-01-01,Meteorological Service of Canada,Canada,Nunavut
Lupin A,2006-01-01,daily data interval,490.1,1982-01-01,Meteorological Service of Canada,Canada,Nunavut
Lady Franklin Point A,2000-01-01,daily data interval,15.9,1957-01-01,Meteorological Service of Canada,Canada,Nunavut
Jenny Lind Island A,1992-01-01,daily data interval,18.3,1957-01-01,Meteorological Service of Canada,Canada,Nunavut
Gjoa Haven A,2014-01-01,daily data interval,46.9,1984-01-01,Meteorological Service of Canada,Canada,Nunavut
Coral Harbour A,2015-01-01,daily data interval,62.2,1933-01-01,Meteorological Service of Canada,Canada,Nunavut
