col0,col1,col2,col3,col4,col5,col6,col7
Anticosti National Park,Sept-Îles,IUCN category II: National Park,2001-04-26,57180,L'Île-d'Anticosti,Canada,national park of Quebec
Mont-Saint-Bruno National Park,Montreal,IUCN category II: National Park,1985-10-02,884.2,Sainte-Julie,Canada,national park of Quebec
Pointe-Taillon National Park,Alma,IUCN category II: National Park,1985-11-06,9750,Saint-Gédéon,Canada,national park of Quebec
Gaspésie National Park,Sainte-Anne-des-Monts,IUCN category II: National Park,1981-11-25,80200,Mont-Albert,Canada,national park of Quebec
Kuururjuaq National Park,Kangiqsualujjuaq,IUCN category II: National Park,2009-05-21,446080,Rivière-Koksoak,Canada,national park of Quebec
Lac-Témiscouata National Park,Cabano,IUCN category II: National Park,2009-11-18,17650,Dégelis,Canada,national park of Quebec
Jacques-Cartier National Park,Quebec City,IUCN category II: National Park,1981-11-25,67060,Stoneham-et-Tewkesbury,Canada,national park of Quebec
Plaisance National Park,Gatineau,IUCN category II: National Park,2002-03-21,28.1,Thurso,Canada,national park of Quebec
Frontenac National Park,Thetford Mines,IUCN category II: National Park,1987-08-06,15650,Adstock,Canada,national park of Quebec
Grands-Jardins National Park,Baie-Saint-Paul,IUCN category II: National Park,1981-11-25,31890,Lac-Pikauba,Canada,national park of Quebec
