col0,col1,col2,col3,col4
La Bellone,multiple dwellings,Brussels,1697-01-01,protected heritage site in Brussels
Markthalle Hamburg,convention center,Hamburg-Mitte,1913-01-01,Kulturdenkmal
Massey Hall,concert hall,Toronto,1894-01-01,national historic site of Canada
Barbican Centre,art museum,City of London,1982-01-01,Grade II listed building
Schaubühne am Lehniner Platz,movie theater,Charlottenburg-Wilmersdorf,1962-09-21,Kulturdenkmal
Corona Theatre,movie theater,Le Sud-Ouest,1912-01-01,classified heritage immovable
Lyceum Theatre,theatre,City of Westminster,1834-07-14,Grade II* listed building or structure
Festspielhaus Hellerau,theatre,Dresden,1911-01-01,Kulturdenkmal
Barbican Centre,theatre,City of London,1982-01-01,Grade II listed building
Schaubühne am Lehniner Platz,theatre,Charlottenburg-Wilmersdorf,1962-09-21,Kulturdenkmal
