col0,col1,col2,col3,col4
Bonner,Neville Bonner,360,Australia,149636
Batman,John Batman,66,Australia,161964
Bass,George Bass,7378,Australia,101390
Calwell,Arthur Calwell,175,Australia,165406
Cunningham,Allan Cunningham,519,Australia,155380
McMillan,Angus McMillan,8328,Australia,167328
Hasluck,Alexandra Hasluck,245,Australia,143626
Macquarie,Lachlan Macquarie,4374,Australia,141439
Gilmore,Mary Gilmore,4878,Australia,150436
Warringah,Warringah Council,73,Australia,147333
Lyons,Joseph Lyons,32910,Australia,103510
McMahon,William McMahon,161,Australia,165693
Casey,"Richard Casey, Baron Casey",2337,Australia,142766
Fisher,Andrew Fisher,1170,Australia,140166
