col0,col1,col2,col3,col4,col5
Ostfildern,1975-01-01,Stadtarchiv Ostfildern-Nellingen,big district town,Esslingen,22.81
Neumarkt in der Oberpfalz,1160-01-01,Stadtarchiv Neumarkt i.d.Opf.,big district town,Neumarkt,78.83
Bautzen,1002-01-01,Archivverbund Stadtarchiv/Staatsfilialarchiv Bautzen,big district town,Bautzen District,66.67
Freiberg,1186-01-01,municipal archive Freiberg,big district town,Mittelsachsen,48.32
Lahr/Schwarzwald,1201-01-01,Stadtarchiv Lahr,big district town,Ortenau,69.86
Ravensburg,1276-01-01,Stadtarchiv Ravensburg,big district town,Landkreis Ravensburg,92.05
Offenburg,1148-01-01,Stadtarchiv Offenburg,big district town,Ortenau,78.38
Plauen,1112-01-01,Stadtarchiv Plauen,major regional center,Vogtlandkreis,102.11
Weißenburg in Bayern,1296-01-01,Stadtarchiv Weißenburg i. Bay.,district capital,Weißenburg-Gunzenhausen,97.55
Neumarkt in der Oberpfalz,1160-01-01,Stadtarchiv Neumarkt i.d.Opf.,district capital,Neumarkt,78.83
Bautzen,1002-01-01,Archivverbund Stadtarchiv/Staatsfilialarchiv Bautzen,district capital,Bautzen District,66.67
Freiberg,1186-01-01,municipal archive Freiberg,district capital,Mittelsachsen,48.32
