col0,col1,col2,col3,col4
Sue Snell,Sue Snell,Susan,musical theatre character,female
Larry Talbot,Larry Talbot,Lawrence,werewolf in a work of fiction,male
Kurt Barlow,Kurt Barlow,Kurt,vampire in a work of fiction,male
Ash Williams,Ash Williams,Ashley,fictional cyborg,male
Danny Torrance,Danny Torrance,Anthony,fictional child,male
Isaac Chroner,Isaac Chroner,Isaac,horror film character,male
Beverly Marsh,Beverly Marsh,Beverly,horror film character,female
Bill Denbrough,Bill Denbrough,William,horror film character,male
Tanya Robertson,Tanya Robertson,Tanya,horror film character,female
Ludwig Frankenstein,Ludwig Frankenstein,Ludwig,horror film character,male
Dick Hallorann,Dick Hallorann,Dick,horror film character,male
Wendy Torrance,Wendy Torrance,Wendy,horror film character,female
Wolf Frankenstein,Wolf Frankenstein,Wolf,horror film character,male
