col0,col1,col2,col3,col4,col5,col6,col7
Šamac,municipality of Bosnia and Herzegovina,Šamac Municipality,UTC+01:00,184,Šamac Municipality,Bosnia and Herzegovina,82
Bijeljina,municipality of Bosnia and Herzegovina,Bijeljina City Municipality,UTC+01:00,733.85,Bijeljina City Municipality,Bosnia and Herzegovina,90
Novi Grad,municipality of Bosnia and Herzegovina,Novi Grad Municipality,UTC+01:00,472,Novi Grad Municipality,Bosnia and Herzegovina,216
Nevesinje,municipality of Bosnia and Herzegovina,Nevesinje Municipality,UTC+01:00,877.08,Nevesinje Municipality,Bosnia and Herzegovina,885
Gradiška,municipality of Bosnia and Herzegovina,Gradiška Municipality,UTC+01:00,761.74,Gradiška Municipality,Bosnia and Herzegovina,163
Bijeljina,big city,Bijeljina City Municipality,UTC+01:00,733.85,Bijeljina City Municipality,Bosnia and Herzegovina,90
Kostajnica,border town,Kostajnica Municipality,UTC+01:00,8512,Kostajnica Municipality,Bosnia and Herzegovina,109
Velika Kladuša,border town,Velika Kladuša Municipality,UTC+01:00,68,Velika Kladuša Municipality,Bosnia and Herzegovina,252
Šamac,border town,Šamac Municipality,UTC+01:00,184,Šamac Municipality,Bosnia and Herzegovina,82
Novi Grad,border town,Novi Grad Municipality,UTC+01:00,472,Novi Grad Municipality,Bosnia and Herzegovina,216
Gradiška,border town,Gradiška Municipality,UTC+01:00,761.74,Gradiška Municipality,Bosnia and Herzegovina,163
Kakanj,town,Kakanj Municipality,UTC+01:00,377,Kakanj Municipality,Bosnia and Herzegovina,452
Šamac,city,Šamac Municipality,UTC+01:00,184,Šamac Municipality,Bosnia and Herzegovina,82
Bijeljina,city,Bijeljina City Municipality,UTC+01:00,733.85,Bijeljina City Municipality,Bosnia and Herzegovina,90
Doboj,administrative subdivision of Republic of Srpska,Republika Srpska,UTC+01:00,648,Doboj Region,Bosnia and Herzegovina,143
