col0,col1,col2,col3,col4,col5
Ponte Pietra,Adige,Italy,Verona,stone bridge,5
Pont du Gard,Gardon,France,Vers-Pont-du-Gard,stone bridge,6
Pont romain d'Ascain,Nivelle,France,Ascain,Roman bridge,4
Vaison-la-Romaine Roman Bridge,Ouvèze,France,Vaison-la-Romaine,Roman bridge,1
Roman Bridge,Hérault,France,Saint-Thibéry,Roman bridge,9
Römerbrücke,Rhine,Germany,Hesse,Roman bridge,22
Römerbrücke,Rhine,Germany,Cologne,Roman bridge,20
Pont Flavien,Touloubre,France,Saint-Chamas,Roman bridge,1
Pont Julien,Calavon,France,Apt,Roman bridge,3
Roman Bridge of Chaves,Tâmega River,Portugal,Madalena e Samaiões,Roman bridge,12
Pont-Saint-Martin,Lys,Italy,"Pont-Saint-Martin, Aosta Valley",Roman bridge,1
Ponte Milvio,Tiber,Italy,Rome,Roman bridge,6
Alcántara Bridge,Tagus river,Spain,Alcántara,Roman bridge,8
Bridge near Limyra,Alakır Çayı,Turkey,Limyra,Roman bridge,28
