col0,col1,col2,col3,col4
Cree River,284,Pipestone River,Canada,Black Lake
Chapleau River,309,Makonie River,Canada,Kapuskasing River
Brokenhead River,216,Beaver Creek,Canada,Lake Winnipeg
Cardener,173,Riu Negre,Spain,Llobregat
Atikameg River,29,Little Swan River,Canada,Kapiskau River
Brokenhead River,216,Hazel Creek,Canada,Lake Winnipeg
Stracha River,118,Sviryca,Belarus,Neris
Brokenhead River,216,Bears Creek,Canada,Lake Winnipeg
Paudèze,370,Chandelar,Switzerland,Lake Geneva
Postijoki,234,Miessijoki river,Finland,Vaskojoki
