col0,col1,col2,col3,col4,col5,col6,col7
1995 Women's European Volleyball Championship,1995-10-01,1995-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1987 Women's European Volleyball Championship,1987-10-03,1987-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1967 Women's European Volleyball Championship,1967-11-07,1967-01-01,volleyball,women's sports,European Volleyball Confederation,15,Women's European Volleyball Championship
1977 Women's European Volleyball Championship,1977-10-02,1977-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1985 Women's European Volleyball Championship,1985-10-06,1985-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1971 Women's European Volleyball Championship,1971-10-01,1971-01-01,volleyball,women's sports,European Volleyball Confederation,18,Women's European Volleyball Championship
2011 Women's European Volleyball Championship,2011-10-02,2011-01-01,volleyball,women's sports,European Volleyball Confederation,16,Women's European Volleyball Championship
2009 Women's European Volleyball Championship,2009-10-04,2009-01-01,volleyball,women's sports,European Volleyball Confederation,16,Women's European Volleyball Championship
2003 Women's European Volleyball Championship,2003-09-28,2003-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
2013 Women's European Volleyball Championship,2013-09-14,2013-01-01,volleyball,women's sports,European Volleyball Confederation,16,Women's European Volleyball Championship
1983 Women's European Volleyball Championship,1983-09-25,1983-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1989 Women's European Volleyball Championship,1989-09-10,1989-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
2005 Women's European Volleyball Championship,2005-09-25,2005-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
1997 Women's European Volleyball Championship,1997-10-05,1997-01-01,volleyball,women's sports,European Volleyball Confederation,12,Women's European Volleyball Championship
