col0,col1,col2,col3,col4,col5
Budapest Gambit,chess,Indian Defense,Budapest,chess opening,chess terminology
Queen's Gambit,chess,Closed Game,queen,chess opening,chess terminology
Bogo-Indian Defence,chess,Indian Defense,Efim Bogoljubov,chess opening,chess terminology
From Gambit,chess,Bird's Opening,Martin Severin From,gambit,chess terminology
Albin Countergambit,chess,Queen's Gambit,Adolf Albin,gambit,chess terminology
Ruy Lopez,chess,King's Knight Opening,Spain,chess opening,chess terminology
Elephant Gambit,chess,King's Knight Opening,elephant,chess opening,chess terminology
Three Knights Opening,chess,King's Knight Opening,knight,chess opening,chess terminology
Petrov's Defence,chess,King's Knight Opening,Alexander Petrov,chess opening,chess terminology
Inverted Hungarian Opening,chess,King's Knight Opening,Savielly Tartakower,chess opening,chess terminology
