col0,col1,col2,col3,col4,col5,col6,col7
Constantinovca,2270,537,Moldova,Edineț District,commune of Moldova,Constantinovca,Iachimeni
Codreni,12.8,639,Moldova,Cimișlia District,commune of Moldova,Codreni,Zloți
Ciorescu,6.03,5961,Moldova,Chișinău Municipality,commune of Moldova,Ciorescu,Goian
Parcova,39.7,2188,Moldova,Edineț District,commune of Moldova,Parcova,Fîntîna Albă
Mingir,75.91,4872,Moldova,Hîncești District,commune of Moldova,Mingir,Semionovca
Mihăileni,16.54,689,Moldova,Briceni District,commune of Moldova,Mihăileni,Groznița
Lipoveni,2,1761,Moldova,Cimișlia District,commune of Moldova,Lipoveni,Schinoșica
Trușeni,15,10380,Moldova,Chișinău,commune of Moldova,Trușeni,Dumbrava
Sîngereii Noi,367,5122,Moldova,Sîngerei District,commune of Moldova,Sîngereii Noi,Mărinești
Stăuceni,14350,14.584,Moldova,Chișinău,commune of Moldova,Stăuceni,Goianul Nou
